word,category
UBER,Transporte Aplicativo
ABASTEC,Combustivel
SHELLBOX,Combustivel
RAINHALOGESTC,Estacionamento
ESTAPAR,Estacionamento
PETZ,Pets
GOLF,Combustivel
ConectCar,Pedagio
SP JAPAN,Manutencao Carro
Mercadocar,Manutencao Carro
RAIA,Farmacia
99,Transporte Aplicativo
SPOTIFY,Assinatura/Streaming
Gympass,Assinatura/Streaming
BarberShop,Beleza
LEROY MERLIN,Utilidades/Casa
PIZZARIA,Alimentacao
BAR,Bar
RESTAURANTE,Alimentacao
CONFEITARIA,Alimentacao
Drinks,Bar
AGROMANE,Pets
DIA,Alimentacao
Disney,Assinatura/Streaming
GELATO,Alimentacao
SORVETE,Alimentacao
CAFE,Alimentacao
MERCADO,Alimentacao
MERCADOLIVRE,Compras
Turbi,Locacao veiculos
AIRBNB,Locacao casas
FOOD,Alimentacao
PADARIA,Alimentacao
PANIFICADORA,Alimentacao
Ingresso,Entretenimento
Ticket,Entretenimento
Bilheteria,Entretenimento
Cinema,Entretenimento
Cinemark,Entretenimento
Cantina,Alimentacao
Churrascaria,Alimentacao
Bus,Transporte
AUTO POSTO,Combustivel
METRO,Transporte
HOTEL,Locacao casas
TOKSTOK,Utilidades/Casa
SUPERMERCADOS,Alimentacao
SHOPPING,Compras
SHOPEE,Compras
Azul,Viagem
Gelato,Alimentacao
localiza,Locacao veiculos
POSTO,Combustivel
auto ban,Pedagio
concessionaria,Pedagio
Drogaria,Farmacia
oxxo,Alimentacao
pastelaria,Alimentacao
park,Estacionamento
lanches,Alimentacao
alimentos,Alimentacao
Bebida,Bar
chopperia,Bar
lanchonete,Alimentacao
vet,Pets
pague menos,Supermercado
eventim,Entretenimento
ibis,Viagem
Eldorado,Compras
Mooca,Compras
espeto bambu ,Bar
Nagairo,Sushi
Shotgun,Entretenimento
uhuu,Entretenimento
nespresso,Cafe
silviadesiqueira,Estacionamento
zig*,Entretenimento
